Precinct,Mondale,Reagan,Total,demPERC,repPERC,CODE
2001,70.3672507365483,163.497938520509,234.914223432392,29.9544445237902%,69.5989949572225%,14
2002,62.9040574766114,154.835796082336,218.805787624882,28.7488087766917%,70.7640313188537%,15
2003,125.808114953223,315.085431188531,447.2813064965,28.1272910640202%,70.4445785263321%,15
2004,127.940455884633,346.485697526907,477.616111568485,26.7872990013838%,72.5448093426021%,15
2005,66.1025688737272,147.256421448935,213.358990322663,30.9818530607781%,69.0181469392215%,14
2006,57.573205148085,131.014904377362,191.774145661962,30.0213592136495%,68.3172926804745%,14
2007,98.0876828448855,249.036595097464,352.446104231162,27.8305481795174%,70.6594829983214%,15
2008,140.734501473097,233.877845830662,377.806227481132,37.2504451319891%,61.9041796610783%,13
2009,74.6319325993694,206.808650711372,281.440583310742,26.5178289930445%,73.4821710069553%,15
2011,71.4334212022536,318.333734602846,391.878202025939,18.2284752846563%,81.2328251372795%,17
2012,98.0876828448855,280.43686143584,381.71450243767,25.6966089101899%,73.4676989333494%,15
2013,107.683217036233,279.354093631069,389.165256778741,27.6703059074608%,71.7828965369062%,15
2014,103.418535173412,280.43686143584,388.111288832131,26.6466186759498%,72.2568164094647%,15
2015,81.0289553936011,283.685164850155,373.201160758056,21.7118712141765%,76.0140092474327%,16
2016,122.609603556107,419.031140446603,544.830702159654,22.5041656188051%,76.9103390806733%,16
2017,104.484705639117,495.907654585385,601.454372270008,17.3720086604028%,82.4514173392291%,17
2018,69.301080270843,204.643115101829,281.393967772924,24.6277774961995%,72.724769731727%,15
2019,67.1687393394325,362.72721459848,434.134946270192,15.471857291495%,83.5517199697464%,17
2020,79.9627849278958,281.519629240612,365.725328521215,21.8641638114647%,76.9756993257528%,16
2021,72.4995916679589,257.698737535637,332.326275315035,21.815786789423%,77.5438948639696%,16
2022,84.2274667907169,268.526415583353,355.943840531014,23.6631336744196%,75.440669287254%,16
2023,55.4408642166744,319.416502407617,376.985312735731,14.7063724616611%,84.7291636084321%,17
2025,116.212580761875,326.995877041018,450.624430421946,25.7892322111916%,72.5650574991757%,15
2026,102.352364707707,386.548106303455,494.218375279546,20.709947227238%,78.2140295946728%,16
2027,106.617046570528,219.801864368631,329.608869096104,32.3465345040341%,66.6856644274774%,14
2028,136.469819610275,285.850700459698,429.765158640912,31.7545098448294%,66.513232799902%,14
2029,77.8304439964852,253.367666316551,336.49911469082,23.1294647143416%,75.2951955161453%,16
2030,110.881728433349,476.417834099497,587.299562532846,18.8799269584247%,81.1200730415753%,17
2031,147.131524267328,310.754359969444,461.079764414146,31.9102106886593%,67.3970935081683%,14
2032,93.8230009820644,333.492483869648,432.628255290783,21.6867483421773%,77.0852295917421%,16
2033,69.301080270843,225.215703392489,300.904544018079,23.0309184917723%,74.8462287691334%,15
2034,115.14641029617,475.335066294725,591.5434886364,19.4654175911226%,80.3550500387463%,17
2035,103.418535173412,352.982304355536,459.577819815722,22.502943073902%,76.8057745904866%,16
2036,73.5657621336641,436.355425322948,513.094245722957,14.33767046637%,85.0439132694067%,18
2037,66.1025688737272,277.188558021525,349.650221298113,18.9053416377986%,79.2759566953607%,16
2038,43.7129890939164,413.617301422745,462.618317024274,9.44903984241133%,89.4078954943416%,18
2039,114.080239830465,485.079976537669,606.594300686671,18.8066784836793%,79.9677768136881%,16
2040,114.080239830465,543.549437995335,660.819635982744,17.2634458207056%,82.2538266719315%,17
2041,42.6468186282111,103.945709258072,146.592527886283,29.0920821430228%,70.9079178569773%,15
2042,117.278751227581,315.085431188531,434.492128527551,26.9921463537272%,72.5180988333029%,15
2044,86.3598077221275,616.094880915031,712.003741196964,12.1291227454713%,86.5297252342103%,18
2045,163.124081252907,404.955158984572,575.525090617303,28.3435221004772%,70.3627288517032%,15
2047,86.3598077221275,420.113908251374,508.597740064512,16.9799825911876%,82.6023938285855%,17
2048,81.0289553936011,427.693282884775,514.036220526332,15.763277403027%,83.2029467586644%,17
2049,98.0876828448855,502.404261414015,607.916972727695,16.1350459429962%,82.643565478975%,17
2051,120.477262624696,599.853363843457,724.582596670603,16.6271261797177%,82.7860573245526%,17
2054,129.006626350339,476.417834099497,614.993123111784,20.9769217739513%,77.4671807204747%,16
2055,106.617046570528,280.43686143584,395.560558622812,26.9534068163234%,70.8960626439128%,15
2056,72.4995916679589,167.829009739595,242.460469539422,29.901613160149%,69.2191226299294%,14
2059,53.3085232852639,393.044713132085,447.419170483283,11.9146712528393%,87.8470881584119%,18
2060,44.7791595596217,298.843914116957,344.685085722084,12.9913249555934%,86.7005642239803%,18
2064,28.7866025740425,74.7109785292393,104.559593148787,27.5312878590485%,71.4530118943046%,15
2114,68.2349098051378,155.918563887108,225.20250786758,30.2993561000929%,69.2348257412785%,14
2115,119.411092158991,252.284898511779,377.000917068983,31.6739527021207%,66.918908440113%,14
2116,103.418535173412,360.561678988937,467.178016360151,22.1368582321489%,77.1786484728291%,16
2117,79.9627849278958,268.526415583353,354.835317043938,22.5351821216811%,75.6763497558227%,16
2119,66.1025688737272,238.208917049748,309.629390191859,21.3489322937875%,76.9335614109966%,16
2121,88.492148653538,290.181771678784,390.341863153825,22.6704222648712%,74.3404177390089%,15
2123,93.8230009820644,133.180439986905,229.131387080408,40.9472496010071%,58.1240491247795%,12
2128,115.14641029617,304.257753140815,424.725989725798,27.1107521276266%,71.6362456032519%,15
2130,122.609603556107,374.637660450968,501.486256339354,24.4492450204134%,74.705469136018%,15
2131,109.815557967644,237.126149244977,354.383635572015,30.9877621155924%,66.912273999963%,14
2132,97.0215123791802,251.202130707007,355.65651559584,27.2795543241033%,70.6305437104567%,15
2134,111.947898899054,253.367666316551,367.443511327044,30.4666963623191%,68.9541816649581%,14
2135,103.418535173412,207.891418516144,314.495989826072,32.8838963036083%,66.1030427227755%,14
2136,28.7866025740425,60.6349970672087,89.4215996412512,32.1920013615624%,67.8079986384376%,14
2138,36.2497958339794,166.746241934824,205.127905900671,17.6718012475263%,81.2889115221444%,17
2139,52.2423528195586,234.960613635434,291.441958787271,17.9254740933481%,80.620036529104%,17
2141,69.301080270843,263.112576559495,336.673471073645,20.5840632616057%,78.1506709514219%,16
2142,75.6981030650747,249.036595097464,336.419540874641,22.5011017101655%,74.0256034028243%,15
2143,125.808114953223,363.809982403252,494.919101734259,25.4199351999904%,73.5089797763748%,15
2145,58.6393756137903,190.567133639799,255.577369717736,22.943884146923%,74.5633832331339%,15
2146,121.543433090402,358.396143379394,483.125612606311,25.1577291534418%,74.1828075406641%,15
2147,41.5806481625058,169.994545349139,214.769073689018,19.3606311412945%,79.1522459119455%,16
2148,87.4259781878327,306.423288750358,393.849266938191,22.1978268151894%,77.8021731848105%,16
2149,117.278751227581,344.320161917364,465.845749518081,25.1754473125291%,73.9129126483529%,15
2150,113.014069364759,294.512842897871,412.852660571872,27.3739472111467%,71.3360651448679%,15
2151,77.8304439964852,285.850700459698,364.743156501689,21.3384247542763%,78.3704081527776%,16
2152,115.14641029617,279.354093631069,400.863520350528,28.7245918998771%,69.6880807180441%,14
2154,61.8378870109061,220.884632173403,284.84654327532,21.7091934133588%,77.5451334720624%,16
2156,85.2936372564222,244.705523878378,336.349199687918,25.3586562226287%,72.7534134481153%,15
2160,166.322592650023,475.335066294725,648.024597388467,25.6660925094976%,73.3513925567518%,15
2161,119.411092158991,361.644446793709,487.443299307447,24.4974322815902%,74.1921054833513%,15
2163,154.594717527265,173.242848763453,329.965512402158,46.8517804790601%,52.503319968878%,11
2164,99.1538533105908,303.174985336043,406.567830978913,24.3880223065985%,74.5693491307647%,15
2165,93.8230009820644,119.104458524874,215.051483597949,43.628157970522%,55.3841603564784%,12
2166,135.40364914457,435.272657518177,574.936120906054,23.5510771059548%,75.7080033225642%,16
2168,85.2936372564222,302.092217531272,388.434888963028,21.9582843045133%,77.7716487666034%,16
2171,77.8304439964852,282.602397045383,362.543887262708,21.4678682308295%,77.9498446875212%,16
2173,74.6319325993694,198.1465082732,274.90246496358,27.1485134224813%,72.0788401440675%,15
2175,143.933012870212,359.478911184166,507.667816277257,28.3518096391607%,70.8098681181398%,15
2176,107.683217036233,334.575251674419,449.627663678334,23.9494198722768%,74.4116251516446%,15
2177,165.256422184318,407.120694594115,580.888901224191,28.4488861529372%,70.0858105114645%,15
2180,86.3598077221275,178.656687787311,270.334399777823,31.9455488436186%,66.0872933426681%,14
2181,149.263865198739,259.86427314518,412.305118630693,36.2022828371521%,63.0271760894494%,13
2186,75.6981030650747,228.464006806804,307.355990049252,24.6288035749505%,74.3320495462587%,15
2187,106.617046570528,320.499270212389,431.355309115195,24.7167576977836%,74.3005275325819%,15
